id,Timestamp,Category,Money,Description,Details
955760312,2022-11-16T00:10:00.402357+00:00,interest,400,Bond yield,"{""bond value"": ""$80000"", ""interest"": ""0.5%"", ""issuer"": ""WE GOT U""}"
955760082,2022-11-16T00:09:59.444882+00:00,interest,150,Bond yield,"{""bond value"": ""$30000"", ""interest"": ""0.5%"", ""issuer"": ""Simgi Entreprise""}"
955760077,2022-11-16T00:09:59.428374+00:00,interest,1000,Bond yield,"{""bond value"": ""$200000"", ""interest"": ""0.5%"", ""issuer"": ""Jerem store""}"
955756525,2022-11-16T00:09:46.247193+00:00,interest,255,Bond yield,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""issuer"": ""BestBeverage""}"
955744393,2022-11-16T00:09:15.249135+00:00,interest,637,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""AllCore Electronics""}"
955738727,2022-11-16T00:09:01.000821+00:00,interest,510,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""Mr..Elon Musk""}"
955735584,2022-11-16T00:08:52.388488+00:00,interest,1000,Bond yield,"{""bond value"": ""$200000"", ""interest"": ""0.5%"", ""issuer"": ""Full Live""}"
955728586,2022-11-16T00:08:35.951024+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""BOOP PROSPECTING.""}"
955722938,2022-11-16T00:08:22.804747+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""SECCEN UK""}"
955722934,2022-11-16T00:08:22.787442+00:00,interest,950,Bond yield,"{""bond value"": ""$190000"", ""interest"": ""0.5%"", ""issuer"": ""Alekos S.A.""}"
955722911,2022-11-16T00:08:22.702681+00:00,interest,425,Bond yield,"{""bond value"": ""$85000"", ""interest"": ""0.5%"", ""issuer"": ""Fate Co""}"
955722907,2022-11-16T00:08:22.687039+00:00,interest,1775,Bond yield,"{""bond value"": ""$355000"", ""interest"": ""0.5%"", ""issuer"": ""Brother Xiaoye""}"
955715395,2022-11-16T00:08:05.820248+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Plucking Frog""}"
955705955,2022-11-16T00:07:45.391118+00:00,interest,390,Bond yield,"{""bond value"": ""$75000"", ""interest"": ""0.5%"", ""issuer"": ""A.V.H BLUE MOON""}"
955698135,2022-11-16T00:07:28.472961+00:00,interest,300,Bond yield,"{""bond value"": ""$50000"", ""interest"": ""0.6%"", ""issuer"": ""SEVEN benseninanonimsirketi""}"
955698124,2022-11-16T00:07:28.439708+00:00,interest,2600,Bond yield,"{""bond value"": ""$500000"", ""interest"": ""0.5%"", ""issuer"": ""Beatniks Cash Salad""}"
955686837,2022-11-16T00:07:03.893962+00:00,interest,750,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.6%"", ""issuer"": ""KANLIS""}"
955686833,2022-11-16T00:07:03.882723+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""UTOPIA MINDS""}"
955682972,2022-11-16T00:06:55.476494+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""TechnoSpace CO.""}"
955682967,2022-11-16T00:06:55.465301+00:00,interest,750,Bond yield,"{""bond value"": ""$150000"", ""interest"": ""0.5%"", ""issuer"": ""Madeireira Cara de Pau""}"
955215557,2022-11-15T18:32:54.100117+00:00,fees,-2814,Market fees selling Fuselage,{}
955215556,2022-11-15T18:32:54.098004+00:00,market,93800,Fuselage market order filled,"{""resource"": ""Fuselage"", ""amount"": 35, ""quality"": 0, ""price"": ""$2680.00"", ""buyer"": ""NiM Trend"", ""profit"": 20095}"
955206308,2022-11-15T18:23:58.325458+00:00,fees,-387,Market fees selling High grade e-comps,{}
955206307,2022-11-15T18:23:58.311936+00:00,market,12900,High grade e-comps market order filled,"{""resource"": ""High grade e-comps"", ""amount"": 15, ""quality"": 2, ""price"": ""$860.00"", ""buyer"": ""Zeroxxxxxxx"", ""profit"": 4361}"
955204236,2022-11-15T18:21:55.195172+00:00,production,-21880,Production of Carbon composite,"{""amount"": 3392, ""price"": ""$45.87"", ""quality"": 1}"
955204038,2022-11-15T18:21:44.301614+00:00,production,-19351,Production of Carbon composite,"{""amount"": 3000, ""price"": ""$45.87"", ""quality"": 1}"
955203541,2022-11-15T18:21:11.497843+00:00,market,-46200,Bought Construction units on market,"{""amount"": 20, ""price"": ""$2310.00"", ""seller(s)"": ""Berdi45""}"
955203535,2022-11-15T18:21:11.036939+00:00,market,-2560,Bought Planks on market,"{""amount"": 320, ""price"": ""$8.00"", ""seller(s)"": ""Wooden Shack Industries""}"
955203527,2022-11-15T18:21:10.622255+00:00,market,-2420,Bought Bricks on market,"{""amount"": 1100, ""price"": ""$2.20"", ""seller(s)"": ""Wylde Baustoffe""}"
955203511,2022-11-15T18:21:09.924989+00:00,market,-13200,Bought Reinforced concrete on market,"{""amount"": 80, ""price"": ""$165.00"", ""seller(s)"": ""Whatimgermanimperium""}"
955203127,2022-11-15T18:20:42.016503+00:00,production,-51711,Production of Carbon fibers,"{""amount"": 25000, ""price"": ""$4.98"", ""quality"": 1}"
955203034,2022-11-15T18:20:37.580610+00:00,market,-70625,Bought Crude oil on market,"{""amount"": 2500, ""price"": ""$28.25"", ""seller(s)"": ""Pumpkin uN5U, Impor.INC""}"
955053267,2022-11-15T15:57:06.683098+00:00,bonds,250000,Bond call,"{""issuer"": ""Heatsink"", ""amount"": 50, ""interest"": 0.5}"
954986022,2022-11-15T14:52:57.928955+00:00,production,-68734,Production of Power,"{""amount"": 401638, ""price"": ""$0.17"", ""quality"": 2}"
954985931,2022-11-15T14:52:53.125096+00:00,production,-68734,Production of Power,"{""amount"": 401638, ""price"": ""$0.17"", ""quality"": 2}"
954985852,2022-11-15T14:52:48.339587+00:00,production,-3499,Production of Fuselage,"{""amount"": 19, ""price"": ""$2033.24"", ""quality"": 0}"
954985748,2022-11-15T14:52:41.350116+00:00,production,-265,Production of Golden bars,"{""amount"": 18, ""price"": ""$4217.84"", ""quality"": 2}"
954985594,2022-11-15T14:52:31.367524+00:00,production,-15273,Production of Gold ore,"{""amount"": 2431, ""price"": ""$20.56"", ""quality"": 1}"
954985373,2022-11-15T14:52:20.690833+00:00,production,-17593,Production of High grade e-comps,"{""amount"": 80, ""price"": ""$543.74"", ""quality"": 2}"
954952465,2022-11-15T14:19:56.673329+00:00,market,40050,Fuselage market order filled,"{""resource"": ""Fuselage"", ""amount"": 15, ""quality"": 0, ""price"": ""$2670.00"", ""buyer"": ""Greenfields"", ""profit"": 9818}"
954850598,2022-11-15T12:42:09.256261+00:00,market,10428,Silicon market order filled,"{""resource"": ""Silicon"", ""amount"": 1337, ""quality"": 2, ""price"": ""$7.80"", ""buyer"": ""Squbany"", ""profit"": 2858}"
954848776,2022-11-15T12:40:19.957695+00:00,market,72329,Silicon market order partially filled,"{""resource"": ""Silicon"", ""amount"": 9273, ""quality"": 2, ""price"": ""$7.80"", ""buyer"": ""CIPHERS INC. 561"", ""profit"": ""$19829"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
954837385,2022-11-15T12:27:50.003016+00:00,market,39000,Silicon market order partially filled,"{""resource"": ""Silicon"", ""amount"": 5000, ""quality"": 2, ""price"": ""$7.80"", ""buyer"": ""mEzh Corp"", ""profit"": ""$10692"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
954837295,2022-11-15T12:27:43.265318+00:00,fees,-9853,Market fees selling Fuselage,"{""remaining_fees"": ""$0""}"
954837294,2022-11-15T12:27:43.263420+00:00,market,288360,Fuselage market order partially filled,"{""resource"": ""Fuselage"", ""amount"": 108, ""quality"": 0, ""price"": ""$2670.00"", ""buyer"": ""Myst Take"", ""profit"": ""$60841"", ""fees"": ""$9853"", ""remaining_fees"": ""$0""}"
954835175,2022-11-15T12:25:25.308573+00:00,fees,-4730,Market fees selling Silicon,"{""remaining_fees"": ""$0""}"
954835173,2022-11-15T12:25:25.282046+00:00,market,35880,Silicon market order partially filled,"{""resource"": ""Silicon"", ""amount"": 4600, ""quality"": 2, ""price"": ""$7.80"", ""buyer"": ""RogerGmbH"", ""profit"": ""$5107"", ""fees"": ""$4730"", ""remaining_fees"": ""$0""}"
954832875,2022-11-15T12:23:10.540641+00:00,production,-5156,Production of Fuselage,"{""amount"": 28, ""price"": ""$2021.85"", ""quality"": 0}"
954640279,2022-11-15T08:40:24.682414+00:00,bonds,-125000,Investment in bonds,"{""amount"": 25, ""bond issuer"": ""Oilexia"", ""interest"": ""0.5%"", ""restructure on default"": ""60%""}"
954639548,2022-11-15T08:39:25.710202+00:00,production,-2210,Production of Fuselage,"{""amount"": 12, ""price"": ""$2030.59"", ""quality"": 0}"
954639396,2022-11-15T08:39:17.100288+00:00,production,-2762,Production of Fuselage,"{""amount"": 15, ""price"": ""$2016.23"", ""quality"": 0}"
954639211,2022-11-15T08:39:01.760592+00:00,production,-6418,Production of Carbon composite,"{""amount"": 1000, ""price"": ""$45.83"", ""quality"": 1}"
954565675,2022-11-15T07:13:47.650009+00:00,bonds,250000,Bond call,"{""issuer"": ""Coby company"", ""amount"": 50, ""interest"": 0.5}"
954366479,2022-11-15T03:32:29.443093+00:00,taxes,-29658,Accounting overhead,"{""Cash"": ""$840,617"", ""Investment in bonds"": ""$6,625,000"", ""Bonds payable"": ""$0"", ""Executive lift"": ""$0"", ""Cash/bonds value over $3,000,000 at 0.5%"": ""$22,329"", ""Cash/bonds value over $6,000,000 at 0.5%"": ""$7,329""}"
954349776,2022-11-15T03:13:21.847134+00:00,production,-3131,Production of Fuselage,"{""amount"": 17, ""price"": ""$2014.88"", ""quality"": 0}"
954349723,2022-11-15T03:13:17.039646+00:00,production,-3131,Production of Fuselage,"{""amount"": 17, ""price"": ""$2014.88"", ""quality"": 0}"
954349509,2022-11-15T03:13:01.839840+00:00,production,-16044,Production of Carbon composite,"{""amount"": 2500, ""price"": ""$45.81"", ""quality"": 1}"
954349112,2022-11-15T03:12:28.765634+00:00,production,-13631,Production of Carbon fibers,"{""amount"": 6590, ""price"": ""$4.93"", ""quality"": 1}"
954225902,2022-11-15T00:13:16.127173+00:00,interest,510,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""Mr..Elon Musk""}"
954224967,2022-11-15T00:13:09.674515+00:00,interest,1000,Bond yield,"{""bond value"": ""$200000"", ""interest"": ""0.5%"", ""issuer"": ""Full Live""}"
954222427,2022-11-15T00:12:50.587818+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""BOOP PROSPECTING.""}"
954215414,2022-11-15T00:12:15.499420+00:00,interest,1530,Bond yield,"{""bond value"": ""$300000"", ""interest"": ""0.5%"", ""issuer"": ""Unicorn Processing""}"
954213689,2022-11-15T00:12:09.176499+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Plucking Frog""}"
954213328,2022-11-15T00:12:07.790189+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""HABASHAVACILIK""}"
954206971,2022-11-15T00:11:40.540542+00:00,interest,390,Bond yield,"{""bond value"": ""$75000"", ""interest"": ""0.5%"", ""issuer"": ""A.V.H BLUE MOON""}"
954200555,2022-11-15T00:11:12.961982+00:00,interest,300,Bond yield,"{""bond value"": ""$50000"", ""interest"": ""0.6%"", ""issuer"": ""SEVEN benseninanonimsirketi""}"
954200545,2022-11-15T00:11:12.913333+00:00,interest,2600,Bond yield,"{""bond value"": ""$500000"", ""interest"": ""0.5%"", ""issuer"": ""Beatniks Cash Salad""}"
954194237,2022-11-15T00:10:44.840786+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Rockport""}"
954186569,2022-11-15T00:10:22.871825+00:00,interest,750,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.6%"", ""issuer"": ""KANLIS""}"
954186562,2022-11-15T00:10:22.857840+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""UTOPIA MINDS""}"
